alpha_rate,tau_rate,final_winrate
0.01,1.0,0.12735000000000002
0.01,15.214285714285714,0.1256
0.01,29.428571428571427,0.12545
0.01,43.64285714285714,0.12395
0.01,57.857142857142854,0.12825000000000003
0.01,72.07142857142857,0.12905000000000003
0.01,86.28571428571428,0.1307
0.01,100.5,0.12525
0.01,114.71428571428571,0.12465
0.01,128.92857142857142,0.12455000000000001
0.01,143.14285714285714,0.12980000000000003
0.01,157.35714285714286,0.1223
0.01,171.57142857142856,0.12945
0.01,185.78571428571428,0.1258
0.01,200.0,0.1299
0.12,1.0,0.13140000000000002
0.12,15.214285714285714,0.1351
0.12,29.428571428571427,0.13984999999999997
0.12,43.64285714285714,0.14165
0.12,57.857142857142854,0.13625
0.12,72.07142857142857,0.1405
0.12,86.28571428571428,0.14015
0.12,100.5,0.1419
0.12,114.71428571428571,0.13799999999999998
0.12,128.92857142857142,0.14024999999999999
0.12,143.14285714285714,0.13774999999999998
0.12,157.35714285714286,0.1413
0.12,171.57142857142856,0.14265
0.12,185.78571428571428,0.136
0.12,200.0,0.1425
0.23,1.0,0.12865
0.23,15.214285714285714,0.14150000000000001
0.23,29.428571428571427,0.13855
0.23,43.64285714285714,0.14085
0.23,57.857142857142854,0.1367
0.23,72.07142857142857,0.13915
0.23,86.28571428571428,0.13779999999999998
0.23,100.5,0.13945000000000002
0.23,114.71428571428571,0.13885
0.23,128.92857142857142,0.1425
0.23,143.14285714285714,0.14125
0.23,157.35714285714286,0.14079999999999998
0.23,171.57142857142856,0.14484999999999998
0.23,185.78571428571428,0.1429
0.23,200.0,0.1399
0.34,1.0,0.12975
0.34,15.214285714285714,0.14145000000000002
0.34,29.428571428571427,0.13670000000000002
0.34,43.64285714285714,0.13825
0.34,57.857142857142854,0.1407
0.34,72.07142857142857,0.1411
0.34,86.28571428571428,0.14075
0.34,100.5,0.14175
0.34,114.71428571428571,0.13795000000000002
0.34,128.92857142857142,0.14005
0.34,143.14285714285714,0.1367
0.34,157.35714285714286,0.13999999999999999
0.34,171.57142857142856,0.14650000000000002
0.34,185.78571428571428,0.1407
0.34,200.0,0.13935
0.45,1.0,0.12605
0.45,15.214285714285714,0.13774999999999998
0.45,29.428571428571427,0.14265
0.45,43.64285714285714,0.14135
0.45,57.857142857142854,0.14185
0.45,72.07142857142857,0.1441
0.45,86.28571428571428,0.13955
0.45,100.5,0.14545
0.45,114.71428571428571,0.14655
0.45,128.92857142857142,0.14100000000000001
0.45,143.14285714285714,0.14475
0.45,157.35714285714286,0.13610000000000003
0.45,171.57142857142856,0.1422
0.45,185.78571428571428,0.14130000000000004
0.45,200.0,0.14175
0.56,1.0,0.12764999999999999
0.56,15.214285714285714,0.13710000000000003
0.56,29.428571428571427,0.1417
0.56,43.64285714285714,0.1399
0.56,57.857142857142854,0.14189999999999997
0.56,72.07142857142857,0.14004999999999998
0.56,86.28571428571428,0.1381
0.56,100.5,0.1432
0.56,114.71428571428571,0.14035
0.56,128.92857142857142,0.13849999999999998
0.56,143.14285714285714,0.14084999999999998
0.56,157.35714285714286,0.13845000000000002
0.56,171.57142857142856,0.14345
0.56,185.78571428571428,0.13974999999999999
0.56,200.0,0.14485
0.67,1.0,0.128
0.67,15.214285714285714,0.1451
0.67,29.428571428571427,0.14015
0.67,43.64285714285714,0.1416
0.67,57.857142857142854,0.1429
0.67,72.07142857142857,0.14140000000000003
0.67,86.28571428571428,0.14075000000000001
0.67,100.5,0.14145
0.67,114.71428571428571,0.14115000000000003
0.67,128.92857142857142,0.14450000000000002
0.67,143.14285714285714,0.14165
0.67,157.35714285714286,0.14165
0.67,171.57142857142856,0.14115
0.67,185.78571428571428,0.14095
0.67,200.0,0.14010000000000003
0.78,1.0,0.12855
0.78,15.214285714285714,0.14045000000000002
0.78,29.428571428571427,0.14389999999999997
0.78,43.64285714285714,0.1398
0.78,57.857142857142854,0.14309999999999998
0.78,72.07142857142857,0.14324999999999996
0.78,86.28571428571428,0.14315
0.78,100.5,0.13965
0.78,114.71428571428571,0.1455
0.78,128.92857142857142,0.1446
0.78,143.14285714285714,0.14009999999999997
0.78,157.35714285714286,0.1426
0.78,171.57142857142856,0.14525000000000002
0.78,185.78571428571428,0.14005
0.78,200.0,0.14290000000000003
0.89,1.0,0.1286
0.89,15.214285714285714,0.1367
0.89,29.428571428571427,0.1419
0.89,43.64285714285714,0.1424
0.89,57.857142857142854,0.1392
0.89,72.07142857142857,0.14454999999999998
0.89,86.28571428571428,0.14220000000000002
0.89,100.5,0.14179999999999998
0.89,114.71428571428571,0.13704999999999998
0.89,128.92857142857142,0.14040000000000002
0.89,143.14285714285714,0.13935
0.89,157.35714285714286,0.13979999999999998
0.89,171.57142857142856,0.14329999999999998
0.89,185.78571428571428,0.14479999999999998
0.89,200.0,0.13945
1.0,1.0,0.12935000000000002
1.0,15.214285714285714,0.1351
1.0,29.428571428571427,0.13945000000000002
1.0,43.64285714285714,0.1438
1.0,57.857142857142854,0.14225
1.0,72.07142857142857,0.1384
1.0,86.28571428571428,0.13855
1.0,100.5,0.1381
1.0,114.71428571428571,0.14494999999999997
1.0,128.92857142857142,0.14095
1.0,143.14285714285714,0.14325
1.0,157.35714285714286,0.14279999999999998
1.0,171.57142857142856,0.14265
1.0,185.78571428571428,0.1419
1.0,200.0,0.1409
